日期,城市,用户目标,换电柜目标,电池目标,电池配比目标,柜效目标
2025-09-06,南通市,1300,120,2850,2.19,10.83
2025-09-06,宁波市,5500,447,9715,1.77,12.30
2025-09-06,常州市,3000,204,4785,1.60,14.71
2025-09-06,无锡市,1300,200,4785,3.68,6.50
2025-09-06,武汉市,3000,350,8120,2.71,8.57
2025-09-06,温州市,2000,180,4350,2.18,11.11
2025-09-06,芜湖市,550,57,1200,2.18,9.65
2025-09-06,苏州市,11500,829,20445,1.78,13.87
2025-09-06,青岛市,500,0,0,0.00,0.00
2025-09-07,南京市,7600,400,9860,1.30,19.00
2025-09-07,南通市,1300,120,2850,2.19,10.83
2025-09-07,宁波市,5500,447,9715,1.77,12.30
2025-09-07,常州市,3000,204,4785,1.60,14.71
2025-09-07,无锡市,1300,200,4785,3.68,6.50
2025-09-07,武汉市,3000,350,8120,2.71,8.57
2025-09-07,温州市,2000,180,4350,2.18,11.11
2025-09-07,芜湖市,550,57,1200,2.18,9.65
2025-09-07,苏州市,11500,829,20445,1.78,13.87
2025-09-07,青岛市,500,0,0,0.00,0.00
2025-09-08,南京市,7600,400,9860,1.30,19.00
2025-09-08,南通市,1300,120,2850,2.19,10.83
2025-09-08,宁波市,5500,447,9715,1.77,12.30
2025-09-08,常州市,3000,204,4785,1.60,14.71
2025-09-08,无锡市,1300,200,4785,3.68,6.50
2025-09-08,武汉市,3000,350,8120,2.71,8.57
2025-09-08,温州市,2000,180,4350,2.18,11.11
2025-09-08,芜湖市,550,57,1200,2.18,9.65
2025-09-08,苏州市,11500,829,20445,1.78,13.87
2025-09-08,青岛市,500,0,0,0.00,0.00
2025-09-09,南京市,7600,400,9860,1.30,19.00
2025-09-09,南通市,1300,120,2850,2.19,10.83
2025-09-09,宁波市,5500,447,9715,1.77,12.30
2025-09-09,常州市,3000,204,4785,1.60,14.71
2025-09-09,无锡市,1300,200,4785,3.68,6.50
2025-09-09,武汉市,3000,350,8120,2.71,8.57
2025-09-09,温州市,2000,180,4350,2.18,11.11
2025-09-09,芜湖市,550,57,1200,2.18,9.65
2025-09-09,苏州市,11500,829,20445,1.78,13.87
2025-09-09,青岛市,500,0,0,0.00,0.00
2025-09-10,南京市,7600,400,9860,1.30,19.00
2025-09-10,南通市,1300,120,2850,2.19,10.83
2025-09-10,宁波市,5500,447,9715,1.77,12.30
2025-09-10,常州市,3000,204,4785,1.60,14.71
2025-09-10,无锡市,1300,200,4785,3.68,6.50
2025-09-10,武汉市,3000,350,8120,2.71,8.57
2025-09-10,温州市,2000,180,4350,2.18,11.11
2025-09-10,芜湖市,550,57,1200,2.18,9.65
2025-09-10,苏州市,11500,829,20445,1.78,13.87
2025-09-10,青岛市,500,0,0,0.00,0.00
2025-09-11,南京市,7600,400,9860,1.30,19.00
2025-09-11,南通市,1300,120,2850,2.19,10.83
2025-09-11,宁波市,5500,447,9715,1.77,12.30
2025-09-11,常州市,3000,204,4785,1.60,14.71
2025-09-11,无锡市,1300,200,4785,3.68,6.50
2025-09-11,武汉市,3000,350,8120,2.71,8.57
2025-09-11,温州市,2000,180,4350,2.18,11.11
2025-09-11,芜湖市,550,57,1200,2.18,9.65
2025-09-11,苏州市,11500,829,20445,1.78,13.87
2025-09-11,青岛市,500,0,0,0.00,0.00
2025-09-12,南京市,7600,400,9860,1.30,19.00
2025-09-12,南通市,1300,120,2850,2.19,10.83
2025-09-12,宁波市,5500,447,9715,1.77,12.30
2025-09-12,常州市,3000,204,4785,1.60,14.71
2025-09-12,无锡市,1300,200,4785,3.68,6.50
2025-09-12,武汉市,3000,350,8120,2.71,8.57
2025-09-12,温州市,2000,180,4350,2.18,11.11
2025-09-12,芜湖市,550,57,1200,2.18,9.65
2025-09-12,苏州市,11500,829,20445,1.78,13.87
2025-09-12,青岛市,500,0,0,0.00,0.00
2025-09-13,南京市,7600,400,9860,1.30,19.00
2025-09-13,南通市,1300,120,2850,2.19,10.83
2025-09-13,宁波市,5500,447,9715,1.77,12.30
2025-09-13,常州市,3000,204,4785,1.60,14.71
2025-09-13,无锡市,1300,200,4785,3.68,6.50
2025-09-13,武汉市,3000,350,8120,2.71,8.57
2025-09-13,温州市,2000,180,4350,2.18,11.11
2025-09-13,芜湖市,550,57,1200,2.18,9.65
2025-09-13,苏州市,11500,829,20445,1.78,13.87
2025-09-13,青岛市,500,0,0,0.00,0.00
2025-09-14,南京市,7600,400,9860,1.30,19.00
2025-09-14,南通市,1300,120,2850,2.19,10.83
2025-09-14,宁波市,5500,447,9715,1.77,12.30
2025-09-14,常州市,3000,204,4785,1.60,14.71
2025-09-14,无锡市,1300,200,4785,3.68,6.50
2025-09-14,武汉市,3000,350,8120,2.71,8.57
2025-09-14,温州市,2000,180,4350,2.18,11.11
2025-09-14,芜湖市,550,57,1200,2.18,9.65
2025-09-14,苏州市,11500,829,20445,1.78,13.87
2025-09-14,青岛市,500,0,0,0.00,0.00
2025-09-15,南京市,7600,400,9860,1.30,19.00
2025-09-15,南通市,1300,120,2850,2.19,10.83
2025-09-15,宁波市,5500,447,9715,1.77,12.30
2025-09-15,常州市,3000,204,4785,1.60,14.71
2025-09-15,无锡市,1300,200,4785,3.68,6.50
2025-09-15,武汉市,3000,350,8120,2.71,8.57
2025-09-15,温州市,2000,180,4350,2.18,11.11
2025-09-15,芜湖市,550,57,1200,2.18,9.65
2025-09-15,苏州市,11500,829,20445,1.78,13.87
2025-09-15,青岛市,500,0,0,0.00,0.00
2025-09-16,南京市,7600,400,9860,1.30,19.00
2025-09-16,南通市,1300,120,2850,2.19,10.83
2025-09-16,宁波市,5500,447,9715,1.77,12.30
2025-09-16,常州市,3000,204,4785,1.60,14.71
2025-09-16,无锡市,1300,200,4785,3.68,6.50
2025-09-16,武汉市,3000,350,8120,2.71,8.57
2025-09-16,温州市,2000,180,4350,2.18,11.11
2025-09-16,芜湖市,550,57,1200,2.18,9.65
2025-09-16,苏州市,11500,829,20445,1.78,13.87
2025-09-16,青岛市,500,0,0,0.00,0.00
2025-09-17,南京市,7600,400,9860,1.30,19.00
2025-09-17,南通市,1300,120,2850,2.19,10.83
2025-09-17,宁波市,5500,447,9715,1.77,12.30
2025-09-17,常州市,3000,204,4785,1.60,14.71
2025-09-17,无锡市,1300,200,4785,3.68,6.50
2025-09-17,武汉市,3000,350,8120,2.71,8.57
2025-09-17,温州市,2000,180,4350,2.18,11.11
2025-09-17,芜湖市,550,57,1200,2.18,9.65
2025-09-17,苏州市,11500,829,20445,1.78,13.87
2025-09-17,青岛市,500,0,0,0.00,0.00
2025-09-18,南京市,7600,400,9860,1.30,19.00
2025-09-18,南通市,1300,120,2850,2.19,10.83
2025-09-18,宁波市,5500,447,9715,1.77,12.30
2025-09-18,常州市,3000,204,4785,1.60,14.71
2025-09-18,无锡市,1300,200,4785,3.68,6.50
2025-09-18,武汉市,3000,350,8120,2.71,8.57
2025-09-18,温州市,2000,180,4350,2.18,11.11
2025-09-18,芜湖市,550,57,1200,2.18,9.65
2025-09-18,苏州市,11500,829,20445,1.78,13.87
2025-09-18,青岛市,500,0,0,0.00,0.00
2025-09-19,南京市,7600,400,9860,1.30,19.00
2025-09-19,南通市,1300,120,2850,2.19,10.83
2025-09-19,宁波市,5500,447,9715,1.77,12.30
2025-09-19,常州市,3000,204,4785,1.60,14.71
2025-09-19,无锡市,1300,200,4785,3.68,6.50
2025-09-19,武汉市,3000,350,8120,2.71,8.57
2025-09-19,温州市,2000,180,4350,2.18,11.11
2025-09-19,芜湖市,550,57,1200,2.18,9.65
2025-09-19,苏州市,11500,829,20445,1.78,13.87
2025-09-19,青岛市,500,0,0,0.00,0.00
2025-09-20,南京市,7600,400,9860,1.30,19.00
2025-09-20,南通市,1300,120,2850,2.19,10.83
2025-09-20,宁波市,5500,447,9715,1.77,12.30
2025-09-20,常州市,3000,204,4785,1.60,14.71
2025-09-20,无锡市,1300,200,4785,3.68,6.50
2025-09-20,武汉市,3000,350,8120,2.71,8.57
2025-09-20,温州市,2000,180,4350,2.18,11.11
2025-09-20,芜湖市,550,57,1200,2.18,9.65
2025-09-20,苏州市,11500,829,20445,1.78,13.87
2025-09-20,青岛市,500,0,0,0.00,0.00
2025-09-21,南京市,7600,400,9860,1.30,19.00
2025-09-21,南通市,1300,120,2850,2.19,10.83
2025-09-21,宁波市,5500,447,9715,1.77,12.30
2025-09-21,常州市,3000,204,4785,1.60,14.71
2025-09-21,无锡市,1300,200,4785,3.68,6.50
2025-09-21,武汉市,3000,350,8120,2.71,8.57
2025-09-21,温州市,2000,180,4350,2.18,11.11
2025-09-21,芜湖市,550,57,1200,2.18,9.65
2025-09-21,苏州市,11500,829,20445,1.78,13.87
2025-09-21,青岛市,500,0,0,0.00,0.00
2025-09-22,南京市,7600,400,9860,1.30,19.00
2025-09-22,南通市,1300,120,2850,2.19,10.83
2025-09-22,宁波市,5500,447,9715,1.77,12.30
2025-09-22,常州市,3000,204,4785,1.60,14.71
2025-09-22,无锡市,1300,200,4785,3.68,6.50
2025-09-22,武汉市,3000,350,8120,2.71,8.57
2025-09-22,温州市,2000,180,4350,2.18,11.11
2025-09-22,芜湖市,550,57,1200,2.18,9.65
2025-09-22,苏州市,11500,829,20445,1.78,13.87
2025-09-22,青岛市,500,0,0,0.00,0.00
2025-09-23,南京市,7600,400,9860,1.30,19.00
2025-09-23,南通市,1300,120,2850,2.19,10.83
2025-09-23,宁波市,5500,447,9715,1.77,12.30
2025-09-23,常州市,3000,204,4785,1.60,14.71
2025-09-23,无锡市,1300,200,4785,3.68,6.50
2025-09-23,武汉市,3000,350,8120,2.71,8.57
2025-09-23,温州市,2000,180,4350,2.18,11.11
2025-09-23,芜湖市,550,57,1200,2.18,9.65
2025-09-23,苏州市,11500,829,20445,1.78,13.87
2025-09-23,青岛市,500,0,0,0.00,0.00
2025-09-24,南京市,7600,400,9860,1.30,19.00
2025-09-24,南通市,1300,120,2850,2.19,10.83
2025-09-24,宁波市,5500,447,9715,1.77,12.30
2025-09-24,常州市,3000,204,4785,1.60,14.71
2025-09-24,无锡市,1300,200,4785,3.68,6.50
2025-09-24,武汉市,3000,350,8120,2.71,8.57
2025-09-24,温州市,2000,180,4350,2.18,11.11
2025-09-24,芜湖市,550,57,1200,2.18,9.65
2025-09-24,苏州市,11500,829,20445,1.78,13.87
2025-09-24,青岛市,500,0,0,0.00,0.00
2025-09-25,南京市,7600,400,9860,1.30,19.00
2025-09-25,南通市,1300,120,2850,2.19,10.83
2025-09-25,宁波市,5500,447,9715,1.77,12.30
2025-09-25,常州市,3000,204,4785,1.60,14.71
2025-09-25,无锡市,1300,200,4785,3.68,6.50
2025-09-25,武汉市,3000,350,8120,2.71,8.57
2025-09-25,温州市,2000,180,4350,2.18,11.11
2025-09-25,芜湖市,550,57,1200,2.18,9.65
2025-09-25,苏州市,11500,829,20445,1.78,13.87
2025-09-25,青岛市,500,0,0,0.00,0.00
2025-09-26,南京市,7600,400,9860,1.30,19.00
2025-09-26,南通市,1300,120,2850,2.19,10.83
2025-09-26,宁波市,5500,447,9715,1.77,12.30
2025-09-26,常州市,3000,204,4785,1.60,14.71
2025-09-26,无锡市,1300,200,4785,3.68,6.50
2025-09-26,武汉市,3000,350,8120,2.71,8.57
2025-09-26,温州市,2000,180,4350,2.18,11.11
2025-09-26,芜湖市,550,57,1200,2.18,9.65
2025-09-26,苏州市,11500,829,20445,1.78,13.87
2025-09-26,青岛市,500,0,0,0.00,0.00
2025-09-27,南京市,7600,400,9860,1.30,19.00
2025-09-27,南通市,1300,120,2850,2.19,10.83
2025-09-27,宁波市,5500,447,9715,1.77,12.30
2025-09-27,常州市,3000,204,4785,1.60,14.71
2025-09-27,无锡市,1300,200,4785,3.68,6.50
2025-09-27,武汉市,3000,350,8120,2.71,8.57
2025-09-27,温州市,2000,180,4350,2.18,11.11
2025-09-27,芜湖市,550,57,1200,2.18,9.65
2025-09-27,苏州市,11500,829,20445,1.78,13.87
2025-09-27,青岛市,500,0,0,0.00,0.00
2025-09-28,南京市,7600,400,9860,1.30,19.00
2025-09-28,南通市,1300,120,2850,2.19,10.83
2025-09-28,宁波市,5500,447,9715,1.77,12.30
2025-09-28,常州市,3000,204,4785,1.60,14.71
2025-09-28,无锡市,1300,200,4785,3.68,6.50
2025-09-28,武汉市,3000,350,8120,2.71,8.57
2025-09-28,温州市,2000,180,4350,2.18,11.11
2025-09-28,芜湖市,550,57,1200,2.18,9.65
2025-09-28,苏州市,11500,829,20445,1.78,13.87
2025-09-28,青岛市,500,0,0,0.00,0.00
2025-09-29,南京市,7600,400,9860,1.30,19.00
2025-09-29,南通市,1300,120,2850,2.19,10.83
2025-09-29,宁波市,5500,447,9715,1.77,12.30
2025-09-29,常州市,3000,204,4785,1.60,14.71
2025-09-29,无锡市,1300,200,4785,3.68,6.50
2025-09-29,武汉市,3000,350,8120,2.71,8.57
2025-09-29,温州市,2000,180,4350,2.18,11.11
2025-09-29,芜湖市,550,57,1200,2.18,9.65
2025-09-29,苏州市,11500,829,20445,1.78,13.87
2025-09-29,青岛市,500,0,0,0.00,0.00
2025-09-30,南京市,7600,400,9860,1.30,19.00
2025-09-30,南通市,1300,120,2850,2.19,10.83
2025-09-30,宁波市,5500,447,9715,1.77,12.30
2025-09-30,常州市,3000,204,4785,1.60,14.71
2025-09-30,无锡市,1300,200,4785,3.68,6.50
2025-09-30,武汉市,3000,350,8120,2.71,8.57
2025-09-30,温州市,2000,180,4350,2.18,11.11
2025-09-30,芜湖市,550,57,1200,2.18,9.65
2025-09-30,苏州市,11500,829,20445,1.78,13.87
2025-09-30,青岛市,500,0,0,0.00,0.00
2025-10-01,南京市,7600,400,9860,1.30,19.00
2025-10-01,南通市,1300,120,2850,2.19,10.83
2025-10-01,宁波市,5500,447,9715,1.77,12.30
2025-10-01,常州市,3000,204,4785,1.60,14.71
2025-10-01,无锡市,1300,200,4785,3.68,6.50
2025-10-01,武汉市,3000,350,8120,2.71,8.57
2025-10-01,温州市,2000,180,4350,2.18,11.11
2025-10-01,芜湖市,550,57,1200,2.18,9.65
2025-10-01,苏州市,11500,829,20445,1.78,13.87
2025-10-01,青岛市,500,0,0,0.00,0.00
2025-10-02,南京市,7600,400,9860,1.30,19.00
2025-10-02,南通市,1300,120,2850,2.19,10.83
2025-10-02,宁波市,5500,447,9715,1.77,12.30
2025-10-02,常州市,3000,204,4785,1.60,14.71
2025-10-02,无锡市,1300,200,4785,3.68,6.50
2025-10-02,武汉市,3000,350,8120,2.71,8.57
2025-10-02,温州市,2000,180,4350,2.18,11.11
2025-10-02,芜湖市,550,57,1200,2.18,9.65
2025-10-02,苏州市,11500,829,20445,1.78,13.87
2025-10-02,青岛市,500,0,0,0.00,0.00
2025-10-03,南京市,7600,400,9860,1.30,19.00
2025-10-03,南通市,1300,120,2850,2.19,10.83
2025-10-03,宁波市,5500,447,9715,1.77,12.30
2025-10-03,常州市,3000,204,4785,1.60,14.71
2025-10-03,无锡市,1300,200,4785,3.68,6.50
2025-10-03,武汉市,3000,350,8120,2.71,8.57
2025-10-03,温州市,2000,180,4350,2.18,11.11
2025-10-03,芜湖市,550,57,1200,2.18,9.65
2025-10-03,苏州市,11500,829,20445,1.78,13.87
2025-10-03,青岛市,500,0,0,0.00,0.00
2025-10-04,南京市,7600,400,9860,1.30,19.00
2025-10-04,南通市,1300,120,2850,2.19,10.83
2025-10-04,宁波市,5500,447,9715,1.77,12.30
2025-10-04,常州市,3000,204,4785,1.60,14.71
2025-10-04,无锡市,1300,200,4785,3.68,6.50
2025-10-04,武汉市,3000,350,8120,2.71,8.57
2025-10-04,温州市,2000,180,4350,2.18,11.11
2025-10-04,芜湖市,550,57,1200,2.18,9.65
2025-10-04,苏州市,11500,829,20445,1.78,13.87
2025-10-04,青岛市,500,0,0,0.00,0.00
2025-10-05,南京市,7600,400,9860,1.30,19.00
2025-10-05,南通市,1300,120,2850,2.19,10.83
2025-10-05,宁波市,5500,447,9715,1.77,12.30
2025-10-05,常州市,3000,204,4785,1.60,14.71
2025-10-05,无锡市,1300,200,4785,3.68,6.50
2025-10-05,武汉市,3000,350,8120,2.71,8.57
2025-10-05,温州市,2000,180,4350,2.18,11.11
2025-10-05,芜湖市,550,57,1200,2.18,9.65
2025-10-05,苏州市,11500,829,20445,1.78,13.87
2025-10-05,青岛市,500,0,0,0.00,0.00
2025-10-06,南京市,7600,400,9860,1.30,19.00
2025-10-06,南通市,1300,120,2850,2.19,10.83
2025-10-06,宁波市,5500,447,9715,1.77,12.30
2025-10-06,常州市,3000,204,4785,1.60,14.71
2025-10-06,无锡市,1300,200,4785,3.68,6.50
2025-10-06,武汉市,3000,350,8120,2.71,8.57
2025-10-06,温州市,2000,180,4350,2.18,11.11
2025-10-06,芜湖市,550,57,1200,2.18,9.65
2025-10-06,苏州市,11500,829,20445,1.78,13.87
2025-10-06,青岛市,500,0,0,0.00,0.00
2025-10-07,南京市,7600,400,9860,1.30,19.00
2025-10-07,南通市,1300,120,2850,2.19,10.83
2025-10-07,宁波市,5500,447,9715,1.77,12.30
2025-10-07,常州市,3000,204,4785,1.60,14.71
2025-10-07,无锡市,1300,200,4785,3.68,6.50
2025-10-07,武汉市,3000,350,8120,2.71,8.57
2025-10-07,温州市,2000,180,4350,2.18,11.11
2025-10-07,芜湖市,550,57,1200,2.18,9.65
2025-10-07,苏州市,11500,829,20445,1.78,13.87
2025-10-07,青岛市,500,0,0,0.00,0.00
2025-10-08,南京市,7600,400,9860,1.30,19.00
2025-10-08,南通市,1300,120,2850,2.19,10.83
2025-10-08,宁波市,5500,447,9715,1.77,12.30
2025-10-08,常州市,3000,204,4785,1.60,14.71
2025-10-08,无锡市,1300,200,4785,3.68,6.50
2025-10-08,武汉市,3000,350,8120,2.71,8.57
2025-10-08,温州市,2000,180,4350,2.18,11.11
2025-10-08,芜湖市,550,57,1200,2.18,9.65
2025-10-08,苏州市,11500,829,20445,1.78,13.87
2025-10-08,青岛市,500,0,0,0.00,0.00
2025-10-09,南京市,7600,400,9860,1.30,19.00
2025-10-09,南通市,1300,120,2850,2.19,10.83
2025-10-09,宁波市,5500,447,9715,1.77,12.30
2025-10-09,常州市,3000,204,4785,1.60,14.71
2025-10-09,无锡市,1300,200,4785,3.68,6.50
2025-10-09,武汉市,3000,350,8120,2.71,8.57
2025-10-09,温州市,2000,180,4350,2.18,11.11
2025-10-09,芜湖市,550,57,1200,2.18,9.65
2025-10-09,苏州市,11500,829,20445,1.78,13.87
2025-10-09,青岛市,500,0,0,0.00,0.00
2025-10-10,南京市,7600,400,9860,1.30,19.00
2025-10-10,南通市,1300,120,2850,2.19,10.83
2025-10-10,宁波市,5500,447,9715,1.77,12.30
2025-10-10,常州市,3000,204,4785,1.60,14.71
2025-10-10,无锡市,1300,200,4785,3.68,6.50
2025-10-10,武汉市,3000,350,8120,2.71,8.57
2025-10-10,温州市,2000,180,4350,2.18,11.11
2025-10-10,芜湖市,550,57,1200,2.18,9.65
2025-10-10,苏州市,11500,829,20445,1.78,13.87
2025-10-10,青岛市,500,0,0,0.00,0.00
2025-10-11,南京市,7600,400,9860,1.30,19.00
2025-10-11,南通市,1300,120,2850,2.19,10.83
2025-10-11,宁波市,5500,447,9715,1.77,12.30
2025-10-11,常州市,3000,204,4785,1.60,14.71
2025-10-11,无锡市,1300,200,4785,3.68,6.50
2025-10-11,武汉市,3000,350,8120,2.71,8.57
2025-10-11,温州市,2000,180,4350,2.18,11.11
2025-10-11,芜湖市,550,57,1200,2.18,9.65
2025-10-11,苏州市,11500,829,20445,1.78,13.87
2025-10-11,青岛市,500,0,0,0.00,0.00
2025-10-12,南京市,7600,400,9860,1.30,19.00
2025-10-12,南通市,1300,120,2850,2.19,10.83
2025-10-12,宁波市,5500,447,9715,1.77,12.30
2025-10-12,常州市,3000,204,4785,1.60,14.71
2025-10-12,无锡市,1300,200,4785,3.68,6.50
2025-10-12,武汉市,3000,350,8120,2.71,8.57
2025-10-12,温州市,2000,180,4350,2.18,11.11
2025-10-12,芜湖市,550,57,1200,2.18,9.65
2025-10-12,苏州市,11500,829,20445,1.78,13.87
2025-10-12,青岛市,500,0,0,0.00,0.00
2025-10-13,南京市,7600,400,9860,1.30,19.00
2025-10-13,南通市,1300,120,2850,2.19,10.83
2025-10-13,宁波市,5500,447,9715,1.77,12.30
2025-10-13,常州市,3000,204,4785,1.60,14.71
2025-10-13,无锡市,1300,200,4785,3.68,6.50
2025-10-13,武汉市,3000,350,8120,2.71,8.57
2025-10-13,温州市,2000,180,4350,2.18,11.11
2025-10-13,芜湖市,550,57,1200,2.18,9.65
2025-10-13,苏州市,11500,829,20445,1.78,13.87
2025-10-13,青岛市,500,0,0,0.00,0.00
2025-10-14,南京市,7600,400,9860,1.30,19.00
2025-10-14,南通市,1300,120,2850,2.19,10.83
2025-10-14,宁波市,5500,447,9715,1.77,12.30
2025-10-14,常州市,3000,204,4785,1.60,14.71
2025-10-14,无锡市,1300,200,4785,3.68,6.50
2025-10-14,武汉市,3000,350,8120,2.71,8.57
2025-10-14,温州市,2000,180,4350,2.18,11.11
2025-10-14,芜湖市,550,57,1200,2.18,9.65
2025-10-14,苏州市,11500,829,20445,1.78,13.87
2025-10-14,青岛市,500,0,0,0.00,0.00
2025-10-15,南京市,7600,400,9860,1.30,19.00
2025-10-15,南通市,1300,120,2850,2.19,10.83
2025-10-15,宁波市,5500,447,9715,1.77,12.30
2025-10-15,常州市,3000,204,4785,1.60,14.71
2025-10-15,无锡市,1300,200,4785,3.68,6.50
2025-10-15,武汉市,3000,350,8120,2.71,8.57
2025-10-15,温州市,2000,180,4350,2.18,11.11
2025-10-15,芜湖市,550,57,1200,2.18,9.65
2025-10-15,苏州市,11500,829,20445,1.78,13.87
2025-10-15,青岛市,500,0,0,0.00,0.00
2025-10-16,南京市,7600,400,9860,1.30,19.00
2025-10-16,南通市,1300,120,2850,2.19,10.83
2025-10-16,宁波市,5500,447,9715,1.77,12.30
2025-10-16,常州市,3000,204,4785,1.60,14.71
2025-10-16,无锡市,1300,200,4785,3.68,6.50
2025-10-16,武汉市,3000,350,8120,2.71,8.57
2025-10-16,温州市,2000,180,4350,2.18,11.11
2025-10-16,芜湖市,550,57,1200,2.18,9.65
2025-10-16,苏州市,11500,829,20445,1.78,13.87
2025-10-16,青岛市,500,0,0,0.00,0.00
2025-10-17,南京市,7600,400,9860,1.30,19.00
2025-10-17,南通市,1300,120,2850,2.19,10.83
2025-10-17,宁波市,5500,447,9715,1.77,12.30
2025-10-17,常州市,3000,204,4785,1.60,14.71
2025-10-17,无锡市,1300,200,4785,3.68,6.50
2025-10-17,武汉市,3000,350,8120,2.71,8.57
2025-10-17,温州市,2000,180,4350,2.18,11.11
2025-10-17,芜湖市,550,57,1200,2.18,9.65
2025-10-17,苏州市,11500,829,20445,1.78,13.87
2025-10-17,青岛市,500,0,0,0.00,0.00
2025-10-18,南京市,7600,400,9860,1.30,19.00
2025-10-18,南通市,1300,120,2850,2.19,10.83
2025-10-18,宁波市,5500,447,9715,1.77,12.30
2025-10-18,常州市,3000,204,4785,1.60,14.71
2025-10-18,无锡市,1300,200,4785,3.68,6.50
2025-10-18,武汉市,3000,350,8120,2.71,8.57
2025-10-18,温州市,2000,180,4350,2.18,11.11
2025-10-18,芜湖市,550,57,1200,2.18,9.65
2025-10-18,苏州市,11500,829,20445,1.78,13.87
2025-10-18,青岛市,500,0,0,0.00,0.00
2025-10-19,南京市,7600,400,9860,1.30,19.00
2025-10-19,南通市,1300,120,2850,2.19,10.83
2025-10-19,宁波市,5500,447,9715,1.77,12.30
2025-10-19,常州市,3000,204,4785,1.60,14.71
2025-10-19,无锡市,1300,200,4785,3.68,6.50
2025-10-19,武汉市,3000,350,8120,2.71,8.57
2025-10-19,温州市,2000,180,4350,2.18,11.11
2025-10-19,芜湖市,550,57,1200,2.18,9.65
2025-10-19,苏州市,11500,829,20445,1.78,13.87
2025-10-19,青岛市,500,0,0,0.00,0.00
2025-10-20,南京市,7600,400,9860,1.30,19.00
2025-10-20,南通市,1300,120,2850,2.19,10.83
2025-10-20,宁波市,5500,447,9715,1.77,12.30
2025-10-20,常州市,3000,204,4785,1.60,14.71
2025-10-20,无锡市,1300,200,4785,3.68,6.50
2025-10-20,武汉市,3000,350,8120,2.71,8.57
2025-10-20,温州市,2000,180,4350,2.18,11.11
2025-10-20,芜湖市,550,57,1200,2.18,9.65
2025-10-20,苏州市,11500,829,20445,1.78,13.87
2025-10-20,青岛市,500,0,0,0.00,0.00
2025-10-21,南京市,7600,400,9860,1.30,19.00
2025-10-21,南通市,1300,120,2850,2.19,10.83
2025-10-21,宁波市,5500,447,9715,1.77,12.30
2025-10-21,常州市,3000,204,4785,1.60,14.71
2025-10-21,无锡市,1300,200,4785,3.68,6.50
2025-10-21,武汉市,3000,350,8120,2.71,8.57
2025-10-21,温州市,2000,180,4350,2.18,11.11
2025-10-21,芜湖市,550,57,1200,2.18,9.65
2025-10-21,苏州市,11500,829,20445,1.78,13.87
2025-10-21,青岛市,500,0,0,0.00,0.00
2025-10-22,南京市,7600,400,9860,1.30,19.00
2025-10-22,南通市,1300,120,2850,2.19,10.83
2025-10-22,宁波市,5500,447,9715,1.77,12.30
